archivo,ruta,carpeta,elemento,estado,etiqueta,ancho_px,alto_px,formato,modo_color,tamaño_bytes,imagen_valida,tamaño_kb,ruta_limpia,estrato
013-141.jpg,/workspace/SDNET2018/P/UP/013-141.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,15591,True,15.2255859375,/workspace/SDNET2018_LIMPIO/P/UP/013-141.jpg,P_0
7132-1.jpg,/workspace/SDNET2018/W/UW/7132-1.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,3777,True,3.6884765625,/workspace/SDNET2018_LIMPIO/W/UW/7132-1.jpg,W_0
7124-119.jpg,/workspace/SDNET2018/W/UW/7124-119.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,7910,True,7.724609375,/workspace/SDNET2018_LIMPIO/W/UW/7124-119.jpg,W_0
052-230.jpg,/workspace/SDNET2018/P/UP/052-230.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11780,True,11.50390625,/workspace/SDNET2018_LIMPIO/P/UP/052-230.jpg,P_0
7035-32.jpg,/workspace/SDNET2018/D/CD/7035-32.jpg,CD,D,Con grieta,1,256,256,JPEG,RGB,7498,True,7.322265625,/workspace/SDNET2018_LIMPIO/D/CD/7035-32.jpg,D_1
095-180.jpg,/workspace/SDNET2018/P/UP/095-180.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11760,True,11.484375,/workspace/SDNET2018_LIMPIO/P/UP/095-180.jpg,P_0
024-53.jpg,/workspace/SDNET2018/P/UP/024-53.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,13422,True,13.107421875,/workspace/SDNET2018_LIMPIO/P/UP/024-53.jpg,P_0
098-226.jpg,/workspace/SDNET2018/P/UP/098-226.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,16387,True,16.0029296875,/workspace/SDNET2018_LIMPIO/P/UP/098-226.jpg,P_0
025-92.jpg,/workspace/SDNET2018/P/UP/025-92.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,12341,True,12.0517578125,/workspace/SDNET2018_LIMPIO/P/UP/025-92.jpg,P_0
090-192.jpg,/workspace/SDNET2018/P/UP/090-192.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11555,True,11.2841796875,/workspace/SDNET2018_LIMPIO/P/UP/090-192.jpg,P_0
