epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6081397533416748,0.6352946758270264,0.0010000000474974513,0.6860489249229431,0.21318840980529785,0.5911769866943359,0.8321844339370728,0.5885564088821411,0.4914746880531311,0.3584521412849426,0.13825608789920807
1,0.6642980575561523,0.7033827900886536,0.0010000000474974513,0.6276509761810303,0.25161200761795044,0.6176124215126038,0.8563109040260315,0.5148231983184814,0.5185751914978027,0.7909091114997864,0.06834249943494797
2,0.734413206577301,0.7514293193817139,0.0010000000474974513,0.5827572345733643,0.3085061013698578,0.608856737613678,0.539933443069458,0.7746378183364868,0.7550211548805237,0.22536997497081757,0.8373919725418091
3,0.7717756628990173,0.7908908128738403,0.0005000000237487257,0.5439370274543762,0.3548789918422699,0.6221585869789124,0.8831709027290344,0.7909542322158813,0.41732579469680786,0.7361563444137573,0.35506677627563477
4,0.7825998663902283,0.8025163412094116,0.0005000000237487257,0.5296939611434937,0.3722577393054962,0.6371443271636963,0.87069171667099,0.7547788619995117,0.37887778878211975,0.9147982001304626,0.16025137901306152
5,0.7913610339164734,0.8096940517425537,0.0005000000237487257,0.5221365094184875,0.3867270052433014,0.6475837826728821,0.8781792521476746,0.7854406237602234,0.4026508927345276,0.7857142686843872,0.2678711712360382
6,0.8083485960960388,0.8192517757415771,0.0005000000237487257,0.508272647857666,0.4143628478050232,0.6460683345794678,0.8735440969467163,0.7967992424964905,0.4034360349178314,0.6530014872550964,0.35035350918769836
7,0.8237826228141785,0.8394742608070374,0.0002500000118743628,0.4848371148109436,0.4449809193611145,0.6672840714454651,0.8724744319915771,0.8767243027687073,0.42303815484046936,0.5675675868988037,0.6598585844039917
8,0.8234005570411682,0.8440759778022766,0.0002500000118743628,0.47770029306411743,0.44508224725723267,0.6789021492004395,0.8645115494728088,0.5758742690086365,0.49269139766693115,0.6247654557228088,0.2615868151187897
9,0.8367206454277039,0.8548440933227539,0.0001250000059371814,0.4646227955818176,0.47279852628707886,0.6906886696815491,0.8834086060523987,0.8820267915725708,0.4292450547218323,0.6109422445297241,0.6315789222717285
10,0.8377394080162048,0.8594492077827454,0.0001250000059371814,0.458244651556015,0.4749652147293091,0.6900151371955872,0.869740903377533,0.878952145576477,0.4047601819038391,0.5550031065940857,0.7014925479888916
11,0.8403372168540955,0.8644611239433289,6.25000029685907e-05,0.4519747197628021,0.48084959387779236,0.6975921988487244,0.8500118851661682,0.8942762017250061,0.427341103553772,0.5028601288795471,0.7596229314804077
12,0.8459912538528442,0.8646007180213928,6.25000029685907e-05,0.4489085376262665,0.4936215579509735,0.7036538124084473,0.7928452491760254,0.8942813873291016,0.493715763092041,0.4082747995853424,0.8216810822486877
13,0.8511104583740234,0.8700573444366455,3.125000148429535e-05,0.442644327878952,0.5055869221687317,0.7085368037223816,0.8512004017829895,0.8808239698410034,0.4207143485546112,0.505836546421051,0.7148467898368835
14,0.8473156094551086,0.8724589347839355,3.125000148429535e-05,0.43862903118133545,0.4966840445995331,0.7061794996261597,0.8613026142120361,0.8999243378639221,0.43432381749153137,0.5284945964813232,0.7721916437149048
15,0.8461949825286865,0.8693668842315674,1.5625000742147677e-05,0.4430418014526367,0.49408143758773804,0.7028118968009949,0.8510815501213074,0.8982214331626892,0.4266220033168793,0.5051813721656799,0.7659072875976562
16,0.8499134182929993,0.8702763915061951,1.5625000742147677e-05,0.4404817223548889,0.5027406811714172,0.7103889584541321,0.8413358926773071,0.8989176154136658,0.4427512586116791,0.48493683338165283,0.7839748859405518
17,0.8464242219924927,0.8699497580528259,7.812500371073838e-06,0.4428671598434448,0.49466651678085327,0.7105573415756226,0.8353933691978455,0.9002153277397156,0.4496765732765198,0.47383177280426025,0.7965435981750488
18,0.850626528263092,0.8699706792831421,7.812500371073838e-06,0.4422575533390045,0.5044471025466919,0.7066846489906311,0.8457332849502563,0.9016896486282349,0.4353281557559967,0.4938271641731262,0.7855459451675415
19,0.8484616875648499,0.8712027668952942,3.906250185536919e-06,0.4397868514060974,0.49935317039489746,0.7149351835250854,0.8388400077819824,0.8981369733810425,0.44496941566467285,0.48011499643325806,0.787117063999176
20,0.8520018458366394,0.8735799193382263,3.906250185536919e-06,0.4377768635749817,0.5076812505722046,0.7122411131858826,0.8352745175361633,0.8997740745544434,0.44823282957077026,0.47353631258010864,0.7941869497299194
21,0.8473410606384277,0.8705743551254272,1.9531250927684596e-06,0.44061994552612305,0.49676355719566345,0.710725724697113,0.8369384407997131,0.8996438980102539,0.4424175024032593,0.47650688886642456,0.7886881232261658
22,0.8484107851982117,0.8712081909179688,1.9531250927684596e-06,0.4396333396434784,0.49923357367515564,0.7129146456718445,0.8265985250473022,0.8992125391960144,0.46433132886886597,0.45851919054985046,0.8075412511825562
23,0.846704363822937,0.870503842830658,9.999999974752427e-07,0.44119992852211,0.49527186155319214,0.7055059671401978,0.8330163955688477,0.8997227549552917,0.45260995626449585,0.4694727063179016,0.7973291277885437
24,0.8473156094551086,0.870341420173645,9.999999974752427e-07,0.4401557445526123,0.49668246507644653,0.7058427333831787,0.8350368142127991,0.8999339938163757,0.4466211199760437,0.4731934666633606,0.7973291277885437
25,0.8503208756446838,0.8722524046897888,9.999999974752427e-07,0.43779367208480835,0.5036922097206116,0.7120727300643921,0.8367007374763489,0.8995774984359741,0.4430007338523865,0.476077675819397,0.7894737124443054
26,0.8497096300125122,0.8739039897918701,9.999999974752427e-07,0.4373357892036438,0.5022630095481873,0.7100521922111511,0.8414547443389893,0.8998998999595642,0.4356814920902252,0.4852443039417267,0.7879025936126709
27,0.8477740287780762,0.8689570426940918,9.999999974752427e-07,0.4425463080406189,0.4977434575557709,0.7056743502616882,0.8314713835716248,0.9000899791717529,0.4555904269218445,0.4667583703994751,0.7996857762336731
28,0.848487138748169,0.8709743022918701,9.999999974752427e-07,0.44135889410972595,0.4994080066680908,0.7102205753326416,0.8387211561203003,0.8996888399124146,0.44137921929359436,0.4799809455871582,0.7910447716712952
29,0.8468316793441772,0.8704748153686523,9.999999974752427e-07,0.4416985809803009,0.49555423855781555,0.7038221955299377,0.841930091381073,0.9002603888511658,0.43743109703063965,0.486211895942688,0.7894737124443054
30,0.8482579588890076,0.8745928406715393,9.999999974752427e-07,0.43702858686447144,0.4988853633403778,0.7159454226493835,0.8352745175361633,0.9000723958015442,0.4468148350715637,0.47353631258010864,0.7941869497299194
31,0.8492257595062256,0.8720473647117615,9.999999974752427e-07,0.44060811400413513,0.5011411309242249,0.7024751901626587,0.8364630341529846,0.8996614813804626,0.4458902180194855,0.4756960868835449,0.79183030128479
32,0.8488692045211792,0.8737971782684326,9.999999974752427e-07,0.43821272253990173,0.5002974271774292,0.7080316543579102,0.8352745175361633,0.9001572728157043,0.4489366114139557,0.4735857844352722,0.795758068561554
33,0.8460676670074463,0.8710349202156067,9.999999974752427e-07,0.44065219163894653,0.4938358664512634,0.7082000374794006,0.8344426155090332,0.8999207615852356,0.4500082731246948,0.4721706807613373,0.7996857762336731
34,0.8476212024688721,0.8723323345184326,9.999999974752427e-07,0.4395492374897003,0.49740076065063477,0.7088735699653625,0.8389588594436646,0.9001389741897583,0.43983569741249084,0.4804389178752899,0.7910447716712952
35,0.847595751285553,0.8727263808250427,9.999999974752427e-07,0.43914636969566345,0.49734199047088623,0.7088735699653625,0.8363441824913025,0.899681031703949,0.4446401000022888,0.4754948019981384,0.7926158905029297
36,0.8483343720436096,0.8721362352371216,9.999999974752427e-07,0.4392368793487549,0.4990561604499817,0.7122411131858826,0.835868775844574,0.89963698387146,0.446051687002182,0.4746478796005249,0.7941869497299194
37,0.8500407338142395,0.8729700446128845,9.999999974752427e-07,0.4377773106098175,0.5030209422111511,0.7149351835250854,0.8345614671707153,0.8994137048721313,0.4489128887653351,0.4723384380340576,0.7981147170066833
38,0.8491493463516235,0.8703591227531433,9.999999974752427e-07,0.44091662764549255,0.5009526014328003,0.7083684206008911,0.8336106538772583,0.899686336517334,0.45134037733078003,0.47058823704719543,0.7981147170066833
