archivo,ruta_limpia,elemento,etiqueta_real,prediccion,probabilidad_fisura,error
025-44.jpg,/workspace/SDNET2018_LIMPIO/P/UP/025-44.jpg,P,0,1,0.9185928106307983,name 'cantidad' is not defined
7080-176.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7080-176.jpg,W,0,1,0.7072395086288452,name 'cantidad' is not defined
7026-81.jpg,/workspace/SDNET2018_LIMPIO/D/UD/7026-81.jpg,D,0,1,0.577667772769928,name 'cantidad' is not defined
032-29.jpg,/workspace/SDNET2018_LIMPIO/P/UP/032-29.jpg,P,0,1,0.6883831024169922,name 'cantidad' is not defined
054-85.jpg,/workspace/SDNET2018_LIMPIO/P/CP/054-85.jpg,P,1,1,0.9603563547134399,name 'cantidad' is not defined
7049-75.jpg,/workspace/SDNET2018_LIMPIO/D/CD/7049-75.jpg,D,1,1,0.8370308876037598,name 'cantidad' is not defined
085-84.jpg,/workspace/SDNET2018_LIMPIO/P/UP/085-84.jpg,P,0,1,0.511281430721283,name 'cantidad' is not defined
002-126.jpg,/workspace/SDNET2018_LIMPIO/P/CP/002-126.jpg,P,1,1,0.8079245686531067,name 'cantidad' is not defined
7080-83.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7080-83.jpg,W,0,1,0.7012074589729309,name 'cantidad' is not defined
7080-244.jpg,/workspace/SDNET2018_LIMPIO/W/CW/7080-244.jpg,W,1,1,0.9997993111610413,name 'cantidad' is not defined
014-102.jpg,/workspace/SDNET2018_LIMPIO/P/CP/014-102.jpg,P,1,1,0.6267884373664856,name 'cantidad' is not defined
076-196.jpg,/workspace/SDNET2018_LIMPIO/P/CP/076-196.jpg,P,1,1,0.9496831297874451,name 'cantidad' is not defined
7104-48.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7104-48.jpg,W,0,1,0.5409625172615051,name 'cantidad' is not defined
7092-66.jpg,/workspace/SDNET2018_LIMPIO/W/CW/7092-66.jpg,W,1,1,0.6893813610076904,name 'cantidad' is not defined
100-141.jpg,/workspace/SDNET2018_LIMPIO/P/CP/100-141.jpg,P,1,1,0.9928212761878967,name 'cantidad' is not defined
7044-71.jpg,/workspace/SDNET2018_LIMPIO/D/UD/7044-71.jpg,D,0,1,0.519342839717865,name 'cantidad' is not defined
7022-79.jpg,/workspace/SDNET2018_LIMPIO/D/UD/7022-79.jpg,D,0,1,0.5899382829666138,name 'cantidad' is not defined
7089-67.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7089-67.jpg,W,0,1,0.7372936010360718,name 'cantidad' is not defined
031-12.jpg,/workspace/SDNET2018_LIMPIO/P/UP/031-12.jpg,P,0,1,0.5088791251182556,name 'cantidad' is not defined
7011-59.jpg,/workspace/SDNET2018_LIMPIO/D/CD/7011-59.jpg,D,1,1,0.9999457597732544,name 'cantidad' is not defined
7007-70.jpg,/workspace/SDNET2018_LIMPIO/D/UD/7007-70.jpg,D,0,1,0.5069486498832703,name 'cantidad' is not defined
7092-131.jpg,/workspace/SDNET2018_LIMPIO/W/CW/7092-131.jpg,W,1,1,0.9857763648033142,name 'cantidad' is not defined
7080-55.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7080-55.jpg,W,0,1,0.5030803680419922,name 'cantidad' is not defined
7028-162.jpg,/workspace/SDNET2018_LIMPIO/D/CD/7028-162.jpg,D,1,1,0.8801580667495728,name 'cantidad' is not defined
066-88.jpg,/workspace/SDNET2018_LIMPIO/P/CP/066-88.jpg,P,1,1,0.9935029149055481,name 'cantidad' is not defined
092-179.jpg,/workspace/SDNET2018_LIMPIO/P/CP/092-179.jpg,P,1,1,0.8995199203491211,name 'cantidad' is not defined
016-88.jpg,/workspace/SDNET2018_LIMPIO/P/UP/016-88.jpg,P,0,1,0.9642030596733093,name 'cantidad' is not defined
7140-102.jpg,/workspace/SDNET2018_LIMPIO/W/UW/7140-102.jpg,W,0,1,0.5078281760215759,name 'cantidad' is not defined
