archivo,ruta,carpeta,elemento,estado,etiqueta,ancho_px,alto_px,formato,modo_color,tamaño_bytes,imagen_valida,tamaño_kb,ruta_limpia,estrato
7071-13.jpg,/workspace/SDNET2018/W/UW/7071-13.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,7437,True,7.2626953125,/workspace/SDNET2018_LIMPIO/W/UW/7071-13.jpg,W_0
025-44.jpg,/workspace/SDNET2018/P/UP/025-44.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,14427,True,14.0888671875,/workspace/SDNET2018_LIMPIO/P/UP/025-44.jpg,P_0
059-35.jpg,/workspace/SDNET2018/P/UP/059-35.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,12208,True,11.921875,/workspace/SDNET2018_LIMPIO/P/UP/059-35.jpg,P_0
7080-176.jpg,/workspace/SDNET2018/W/UW/7080-176.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,4795,True,4.6826171875,/workspace/SDNET2018_LIMPIO/W/UW/7080-176.jpg,W_0
022-29.jpg,/workspace/SDNET2018/P/UP/022-29.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,15100,True,14.74609375,/workspace/SDNET2018_LIMPIO/P/UP/022-29.jpg,P_0
7026-81.jpg,/workspace/SDNET2018/D/UD/7026-81.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,9244,True,9.02734375,/workspace/SDNET2018_LIMPIO/D/UD/7026-81.jpg,D_0
022-21.jpg,/workspace/SDNET2018/P/UP/022-21.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,10821,True,10.5673828125,/workspace/SDNET2018_LIMPIO/P/UP/022-21.jpg,P_0
039-13.jpg,/workspace/SDNET2018/P/UP/039-13.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11381,True,11.1142578125,/workspace/SDNET2018_LIMPIO/P/UP/039-13.jpg,P_0
032-29.jpg,/workspace/SDNET2018/P/UP/032-29.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,12278,True,11.990234375,/workspace/SDNET2018_LIMPIO/P/UP/032-29.jpg,P_0
054-85.jpg,/workspace/SDNET2018/P/CP/054-85.jpg,CP,P,Con grieta,1,256,256,JPEG,RGB,13464,True,13.1484375,/workspace/SDNET2018_LIMPIO/P/CP/054-85.jpg,P_1
055-158.jpg,/workspace/SDNET2018/P/UP/055-158.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,13609,True,13.2900390625,/workspace/SDNET2018_LIMPIO/P/UP/055-158.jpg,P_0
