archivo,ruta,carpeta,elemento,estado,etiqueta,ancho_px,alto_px,formato,modo_color,tamaño_bytes,imagen_valida,tamaño_kb,ruta_limpia,estrato,probabilidad_fisura,prediccion,prediccion_texto,prediccion_correcta
7071-13.jpg,/workspace/SDNET2018/W/UW/7071-13.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,7437,True,7.2626953125,/workspace/SDNET2018_LIMPIO/W/UW/7071-13.jpg,W_0,0.47480276,0,Sin fisura,True
025-44.jpg,/workspace/SDNET2018/P/UP/025-44.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,14427,True,14.0888671875,/workspace/SDNET2018_LIMPIO/P/UP/025-44.jpg,P_0,0.9185928,1,Con fisura,False
059-35.jpg,/workspace/SDNET2018/P/UP/059-35.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,12208,True,11.921875,/workspace/SDNET2018_LIMPIO/P/UP/059-35.jpg,P_0,0.110067375,0,Sin fisura,True
7080-176.jpg,/workspace/SDNET2018/W/UW/7080-176.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,4795,True,4.6826171875,/workspace/SDNET2018_LIMPIO/W/UW/7080-176.jpg,W_0,0.7072395,1,Con fisura,False
022-29.jpg,/workspace/SDNET2018/P/UP/022-29.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,15100,True,14.74609375,/workspace/SDNET2018_LIMPIO/P/UP/022-29.jpg,P_0,0.12802072,0,Sin fisura,True
7026-81.jpg,/workspace/SDNET2018/D/UD/7026-81.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,9244,True,9.02734375,/workspace/SDNET2018_LIMPIO/D/UD/7026-81.jpg,D_0,0.5776678,1,Con fisura,False
022-21.jpg,/workspace/SDNET2018/P/UP/022-21.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,10821,True,10.5673828125,/workspace/SDNET2018_LIMPIO/P/UP/022-21.jpg,P_0,0.18170513,0,Sin fisura,True
039-13.jpg,/workspace/SDNET2018/P/UP/039-13.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11381,True,11.1142578125,/workspace/SDNET2018_LIMPIO/P/UP/039-13.jpg,P_0,0.08747064,0,Sin fisura,True
032-29.jpg,/workspace/SDNET2018/P/UP/032-29.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,12278,True,11.990234375,/workspace/SDNET2018_LIMPIO/P/UP/032-29.jpg,P_0,0.6883831,1,Con fisura,False
054-85.jpg,/workspace/SDNET2018/P/CP/054-85.jpg,CP,P,Con grieta,1,256,256,JPEG,RGB,13464,True,13.1484375,/workspace/SDNET2018_LIMPIO/P/CP/054-85.jpg,P_1,0.96035635,1,Con fisura,True
055-158.jpg,/workspace/SDNET2018/P/UP/055-158.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,13609,True,13.2900390625,/workspace/SDNET2018_LIMPIO/P/UP/055-158.jpg,P_0,0.46959665,0,Sin fisura,True
7105-185.jpg,/workspace/SDNET2018/W/UW/7105-185.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,8281,True,8.0869140625,/workspace/SDNET2018_LIMPIO/W/UW/7105-185.jpg,W_0,0.23208566,0,Sin fisura,True
002-186.jpg,/workspace/SDNET2018/P/UP/002-186.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,9495,True,9.2724609375,/workspace/SDNET2018_LIMPIO/P/UP/002-186.jpg,P_0,0.4940445,0,Sin fisura,True
015-50.jpg,/workspace/SDNET2018/P/UP/015-50.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,13464,True,13.1484375,/workspace/SDNET2018_LIMPIO/P/UP/015-50.jpg,P_0,0.37849447,0,Sin fisura,True
026-101.jpg,/workspace/SDNET2018/P/UP/026-101.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11133,True,10.8720703125,/workspace/SDNET2018_LIMPIO/P/UP/026-101.jpg,P_0,0.32375294,0,Sin fisura,True
7049-75.jpg,/workspace/SDNET2018/D/CD/7049-75.jpg,CD,D,Con grieta,1,256,256,JPEG,RGB,5703,True,5.5693359375,/workspace/SDNET2018_LIMPIO/D/CD/7049-75.jpg,D_1,0.8370309,1,Con fisura,True
085-84.jpg,/workspace/SDNET2018/P/UP/085-84.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11776,True,11.5,/workspace/SDNET2018_LIMPIO/P/UP/085-84.jpg,P_0,0.51128143,1,Con fisura,False
047-131.jpg,/workspace/SDNET2018/P/UP/047-131.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,11710,True,11.435546875,/workspace/SDNET2018_LIMPIO/P/UP/047-131.jpg,P_0,0.42384338,0,Sin fisura,True
7057-119.jpg,/workspace/SDNET2018/D/UD/7057-119.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,8215,True,8.0224609375,/workspace/SDNET2018_LIMPIO/D/UD/7057-119.jpg,D_0,0.10856079,0,Sin fisura,True
086-69.jpg,/workspace/SDNET2018/P/UP/086-69.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,6301,True,6.1533203125,/workspace/SDNET2018_LIMPIO/P/UP/086-69.jpg,P_0,0.28935602,0,Sin fisura,True
023-58.jpg,/workspace/SDNET2018/P/UP/023-58.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,14850,True,14.501953125,/workspace/SDNET2018_LIMPIO/P/UP/023-58.jpg,P_0,0.112662375,0,Sin fisura,True
002-126.jpg,/workspace/SDNET2018/P/CP/002-126.jpg,CP,P,Con grieta,1,256,256,JPEG,RGB,12172,True,11.88671875,/workspace/SDNET2018_LIMPIO/P/CP/002-126.jpg,P_1,0.80792457,1,Con fisura,True
7008-131.jpg,/workspace/SDNET2018/D/UD/7008-131.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,8471,True,8.2724609375,/workspace/SDNET2018_LIMPIO/D/UD/7008-131.jpg,D_0,0.30625403,0,Sin fisura,True
045-8.jpg,/workspace/SDNET2018/P/UP/045-8.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,15805,True,15.4345703125,/workspace/SDNET2018_LIMPIO/P/UP/045-8.jpg,P_0,0.4508272,0,Sin fisura,True
7110-191.jpg,/workspace/SDNET2018/W/UW/7110-191.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,6576,True,6.421875,/workspace/SDNET2018_LIMPIO/W/UW/7110-191.jpg,W_0,0.2201985,0,Sin fisura,True
7112-56.jpg,/workspace/SDNET2018/W/UW/7112-56.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,4336,True,4.234375,/workspace/SDNET2018_LIMPIO/W/UW/7112-56.jpg,W_0,0.25326714,0,Sin fisura,True
7001-174.jpg,/workspace/SDNET2018/D/UD/7001-174.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,7651,True,7.4716796875,/workspace/SDNET2018_LIMPIO/D/UD/7001-174.jpg,D_0,0.193409,0,Sin fisura,True
7119-189.jpg,/workspace/SDNET2018/W/UW/7119-189.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,8157,True,7.9658203125,/workspace/SDNET2018_LIMPIO/W/UW/7119-189.jpg,W_0,0.27765694,0,Sin fisura,True
